ID,con_count,trials.thisRepN,condition_tool,condition_unce,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,mouse.time,response_time
IG01,1.0,61.0,WAIT,LOWU,101.0,106.0,6253.0,0.0,6253.0,6463.0,1.0,[0.5672511000011582],576.388299999875
IG01,1.0,62.0,WAIT,LOWU,82.0,0.0,6335.0,0.0,6335.0,6545.0,1.0,[0.6003765999994357],609.8244999994058
IG01,1.0,63.0,WAIT,LOWU,129.0,216.0,6464.0,0.0,6464.0,6674.0,1.0,[0.5302685999995447],545.0197999998927
IG01,1.0,64.0,WAIT,LOWU,110.0,0.0,6574.0,0.0,6574.0,6784.0,1.0,[0.3280814999998256],337.25090000010096
IG01,1.0,65.0,WAIT,LOWU,116.0,106.0,6690.0,0.0,6690.0,6900.0,1.0,[1.8358231999991403],1846.0861999993213
IG01,1.0,66.0,WAIT,LOWU,120.0,0.0,6810.0,0.0,6810.0,7020.0,1.0,[0.5165490999970643],525.6665000014473
IG01,1.0,67.0,WAIT,LOWU,105.0,0.0,6915.0,0.0,6915.0,7125.0,1.0,[0.2901564999992843],299.5528000027407
IG01,1.0,68.0,WAIT,LOWU,116.0,0.0,7031.0,0.0,7031.0,7241.0,1.0,[0.5496958999974595],558.7344999986235
IG01,1.0,69.0,WAIT,LOWU,126.0,0.0,7157.0,0.0,7157.0,7367.0,1.0,[0.7166076000030444],726.3063999998849
IG01,1.0,70.0,WAIT,LOWU,124.0,0.0,7281.0,0.0,7281.0,7491.0,1.0,[0.5501461999992898],559.4531000024872
IG01,1.0,71.0,WAIT,LOWU,113.0,148.0,7394.0,0.0,7394.0,7604.0,1.0,[0.38292360000195913],392.23370000033174
IG01,1.0,72.0,WAIT,LOWU,104.0,100.0,7498.0,0.0,7498.0,7708.0,1.0,[0.5657351999980165],575.5582999992184
IG01,1.0,73.0,WAIT,LOWU,87.0,181.0,7585.0,0.0,7585.0,7795.0,1.0,[1.1336732000017946],1143.2927999994718
IG01,1.0,74.0,WAIT,LOWU,102.0,0.0,7687.0,0.0,7687.0,7897.0,1.0,[0.9840418999992835],993.6320999986492
IG01,1.0,75.0,WAIT,LOWU,96.0,116.0,7783.0,0.0,7783.0,7993.0,1.0,[1.5154939999993076],1525.4217000001809
IG01,1.0,76.0,WAIT,LOWU,116.0,116.0,7899.0,0.0,7899.0,8109.0,0.6923076923076923,[0.6324445999998716],642.000600000727
IG01,1.0,77.0,WAIT,LOWU,127.0,155.0,8026.0,0.0,8026.0,8236.0,1.0,[0.30127599999832455],310.9007999992464
IG01,1.0,78.0,WAIT,LOWU,111.0,0.0,8137.0,0.0,8137.0,8347.0,0.6923076923076923,[0.2885034999999334],297.63889999955427
IG01,1.0,79.0,WAIT,LOWU,130.0,166.0,8267.0,0.0,8267.0,8477.0,1.0,[0.2658797999974922],275.4179000003496
IG01,1.0,80.0,WAIT,LOWU,96.0,0.0,8363.0,0.0,8363.0,8573.0,0.6923076923076923,[0.24789529999907245],258.3286999979755
IG01,1.0,81.0,WAIT,LOWU,73.0,274.0,8436.0,0.0,8436.0,8646.0,0.6923076923076923,[12.56809069999872],12578.30709999695
IG01,1.0,82.0,WAIT,LOWU,105.0,0.0,8541.0,0.0,8541.0,8751.0,1.0,[0.949863899997581],959.1125000005122
IG01,1.0,83.0,WAIT,LOWU,125.0,0.0,8666.0,0.0,8666.0,8876.0,1.0,[7.616934199999378],7626.088799999794
IG01,1.0,84.0,WAIT,LOWU,90.0,108.0,8756.0,0.0,8756.0,8966.0,0.6923076923076923,[0.7839676999974472],793.1419000015594
IG01,1.0,85.0,WAIT,LOWU,107.0,0.0,8863.0,0.0,8863.0,9073.0,1.0,[0.35005489999821293],359.2690000004368
IG01,1.0,86.0,WAIT,LOWU,94.0,0.0,8957.0,0.0,8957.0,9167.0,1.0,[0.7838760999984515],793.4094999982044
IG01,1.0,87.0,WAIT,LOWU,92.0,0.0,9049.0,0.0,9049.0,9259.0,0.6923076923076923,[0.4323227999993833],441.91850000061095
IG01,1.0,88.0,WAIT,LOWU,113.0,151.0,9162.0,0.0,9162.0,9372.0,1.0,[0.26515759999892907],275.3575000023702
IG01,1.0,89.0,WAIT,LOWU,122.0,127.0,9284.0,0.0,9284.0,9494.0,1.0,[0.41718549999859533],426.58640000084415
IG01,1.0,90.0,WAIT,LOWU,94.0,100.0,9378.0,0.0,9378.0,9588.0,1.0,[0.23346940000192262],242.8021000014851
IG01,1.0,91.0,WAIT,LOWU,129.0,0.0,9507.0,0.0,9507.0,9717.0,1.0,[0.3231340000020282],332.66980000189506
IG01,1.0,92.0,WAIT,LOWU,81.0,156.0,9588.0,0.0,9588.0,9798.0,1.0,[0.09965190000002622],108.87179999914952
IG01,1.0,93.0,WAIT,LOWU,124.0,0.0,9712.0,0.0,9712.0,9922.0,1.0,[0.2322316999998293],242.1089999988908
IG01,1.0,94.0,WAIT,LOWU,75.0,102.0,9787.0,0.0,9787.0,9997.0,0.6923076923076923,[0.2664433999998437],282.9607000021497
IG01,1.0,95.0,WAIT,LOWU,128.0,0.0,9915.0,0.0,9915.0,10125.0,1.0,[0.20879449999847566],217.80800000124145
IG01,1.0,96.0,WAIT,LOWU,102.0,0.0,10017.0,0.0,10017.0,10227.0,1.0,[0.26680450000276323],276.3353000009665
IG01,1.0,97.0,WAIT,LOWU,111.0,143.0,10128.0,0.0,10128.0,10338.0,1.0,[1.0501681999994616],1061.8117000012426
IG01,1.0,98.0,WAIT,LOWU,109.0,121.0,10237.0,0.0,10237.0,10447.0,1.0,[0.8340539999990142],844.684600000619
IG01,1.0,99.0,WAIT,LOWU,128.0,0.0,10365.0,0.0,10365.0,10575.0,1.0,[1.6330597000014677],1642.130600001081
IG01,2.0,0.0,WAIT,HIGU,51.0,0.0,51.0,0.0,51.0,10626.0,0.3333333333333333,[2.793464300000778],2809.170500000706
IG01,2.0,1.0,WAIT,HIGU,71.0,177.0,122.0,177.0,-55.0,10520.0,0.0,[0.8204272000002675],829.6783999976469
IG01,2.0,2.0,WAIT,HIGU,97.0,0.0,219.0,177.0,42.0,10617.0,1.0,[0.6166832000017166],625.6377999999095
IG01,2.0,3.0,WAIT,HIGU,118.0,0.0,337.0,177.0,160.0,10735.0,1.0,[3.902356900001905],3911.431799999322
IG01,2.0,4.0,WAIT,HIGU,54.0,22.0,391.0,199.0,192.0,10767.0,0.6666666666666666,[1.5039194000019052],1513.9833000032231
IG01,2.0,5.0,WAIT,HIGU,122.0,137.0,513.0,336.0,177.0,10752.0,1.0,[1.299799600001279],1308.7892999972682
IG01,2.0,6.0,WAIT,HIGU,65.0,93.0,578.0,429.0,149.0,10724.0,0.3333333333333333,[4.22980219999954],4239.808800000814
IG01,2.0,7.0,WAIT,HIGU,118.0,0.0,696.0,429.0,267.0,10842.0,0.0,[1.2831188999989536],1292.1787999985972
IG01,2.0,8.0,WAIT,HIGU,129.0,117.0,825.0,546.0,279.0,10854.0,1.0,[0.367319500001031],376.4365999995498
IG01,2.0,9.0,WAIT,HIGU,32.0,0.0,857.0,546.0,311.0,10886.0,0.6666666666666666,[0.9251245999985258],934.0549000008032
IG01,2.0,10.0,WAIT,HIGU,104.0,0.0,961.0,546.0,415.0,10990.0,1.0,[0.88417969999864],893.2368000022834
IG01,2.0,11.0,WAIT,HIGU,81.0,153.0,1042.0,699.0,343.0,10918.0,0.0,[3.0910199000027205],3100.305099996971
IG01,2.0,12.0,WAIT,HIGU,88.0,0.0,1130.0,699.0,431.0,11006.0,1.0,[0.917856899999606],927.3749000020325
IG01,2.0,13.0,WAIT,HIGU,84.0,115.0,1214.0,814.0,400.0,10975.0,0.0,[0.28378669999801787],293.1332000007387
IG01,2.0,14.0,WAIT,HIGU,122.0,202.0,1336.0,1016.0,320.0,10895.0,1.0,[1.2634193999983836],1272.6364999979269
IG01,2.0,15.0,WAIT,HIGU,42.0,81.0,1378.0,1097.0,281.0,10856.0,0.3333333333333333,[1.7999534999980824],1809.1864999987883
IG01,2.0,16.0,WAIT,HIGU,97.0,0.0,1475.0,1097.0,378.0,10953.0,0.0,[1.1995147000016004],1209.3908000023803
IG01,2.0,17.0,WAIT,HIGU,102.0,114.0,1577.0,1211.0,366.0,10941.0,1.0,[0.48540780000257655],494.79250000137836
IG01,2.0,18.0,WAIT,HIGU,43.0,0.0,1620.0,1211.0,409.0,10984.0,0.6666666666666666,[0.5396978999997373],548.9668000008678
IG01,2.0,19.0,WAIT,HIGU,126.0,0.0,1746.0,1211.0,535.0,11110.0,1.0,[1.0486710999975912],1058.8727000030922
IG01,2.0,20.0,WAIT,HIGU,45.0,38.0,1791.0,1249.0,542.0,11117.0,0.6666666666666666,[5.549986900001386],5559.261099999305
IG01,2.0,21.0,WAIT,HIGU,92.0,130.0,1883.0,1379.0,504.0,11079.0,1.0,[1.1029662000000826],1112.598199997563
IG01,2.0,22.0,WAIT,HIGU,32.0,49.0,1915.0,1428.0,487.0,11062.0,0.6666666666666666,[0.8655923000005714],875.4518000023672
IG01,2.0,23.0,WAIT,HIGU,52.0,41.0,1967.0,1469.0,498.0,11073.0,0.6666666666666666,[3.5835509999997157],3592.967699998524
IG01,2.0,24.0,WAIT,HIGU,107.0,0.0,2074.0,1469.0,605.0,11180.0,1.0,[2.3999036000022897],2409.5453000009293
IG01,2.0,25.0,WAIT,HIGU,43.0,0.0,2117.0,1469.0,648.0,11223.0,0.6666666666666666,[0.7667532999985269],776.3594999996712
IG01,2.0,26.0,WAIT,HIGU,48.0,0.0,2165.0,1469.0,696.0,11271.0,0.6666666666666666,[1.3996469999983674],1409.0223999993177
IG01,2.0,27.0,WAIT,HIGU,58.0,0.0,2223.0,1469.0,754.0,11329.0,0.6666666666666666,[1.366972399999213],1376.1850000009872
IG01,2.0,28.0,WAIT,HIGU,43.0,0.0,2266.0,1469.0,797.0,11372.0,0.6666666666666666,[0.6025786999998672],611.8410000017611
IG01,2.0,29.0,WAIT,HIGU,122.0,0.0,2388.0,1469.0,919.0,11494.0,1.0,[0.9483202000010351],958.815300000133
IG01,2.0,30.0,WAIT,HIGU,93.0,0.0,2481.0,1469.0,1012.0,11587.0,1.0,[2.5836584999997285],2593.02680000104
IG01,2.0,31.0,WAIT,HIGU,106.0,113.0,2587.0,1582.0,1005.0,11580.0,1.0,[3.3330223000011756],3342.351100000087
IG01,2.0,32.0,WAIT,HIGU,116.0,107.0,2703.0,1689.0,1014.0,11589.0,1.0,[2.3508135999982187],2360.191799998516
IG01,2.0,33.0,WAIT,HIGU,97.0,150.0,2800.0,1839.0,961.0,11536.0,1.0,[3.0342348999984097],3043.0793000012636
IG01,2.0,34.0,WAIT,HIGU,95.0,0.0,2895.0,1839.0,1056.0,11631.0,0.0,[1.1316640000004554],1140.7360999984667
IG01,2.0,35.0,WAIT,HIGU,121.0,0.0,3016.0,1839.0,1177.0,11752.0,1.0,[0.3771400999976322],386.8135999983642
IG01,2.0,36.0,WAIT,HIGU,107.0,0.0,3123.0,1839.0,1284.0,11859.0,1.0,[0.9162221999977191],925.4309999996331
IG01,2.0,37.0,WAIT,HIGU,118.0,355.0,3241.0,2194.0,1047.0,11622.0,0.0,[0.8643797999975504],874.603599997703
IG01,2.0,38.0,WAIT,HIGU,107.0,197.0,3348.0,2391.0,957.0,11532.0,1.0,[0.2972358000006352],307.77609999873675
IG01,2.0,39.0,WAIT,HIGU,124.0,133.0,3472.0,2524.0,948.0,11523.0,1.0,[0.43307619999905],442.8363000007812
IG01,2.0,40.0,WAIT,HIGU,113.0,0.0,3585.0,2524.0,1061.0,11636.0,1.0,[0.4674507000017911],476.5559999977704
IG01,2.0,41.0,WAIT,HIGU,106.0,107.0,3691.0,2631.0,1060.0,11635.0,1.0,[1.483639599999151],1493.0761999967508
IG01,2.0,42.0,WAIT,HIGU,110.0,0.0,3801.0,2631.0,1170.0,11745.0,1.0,[0.41668440000285045],425.98659999947995
IG01,2.0,43.0,WAIT,HIGU,102.0,0.0,3903.0,2631.0,1272.0,11847.0,1.0,[0.6668336000002455],676.2411999988835
IG01,2.0,44.0,WAIT,HIGU,94.0,172.0,3997.0,2803.0,1194.0,11769.0,1.0,[0.8001401000001351],809.4959999979474
IG01,2.0,45.0,WAIT,HIGU,109.0,124.0,4106.0,2927.0,1179.0,11754.0,1.0,[0.7167108000030566],726.1283000006806
IG01,2.0,46.0,WAIT,HIGU,96.0,0.0,4202.0,2927.0,1275.0,11850.0,1.0,[0.849445799998648],858.8378999992274
IG01,2.0,47.0,WAIT,HIGU,122.0,194.0,4324.0,3121.0,1203.0,11778.0,1.0,[2.067348500000662],2076.552300001029
IG01,2.0,48.0,WAIT,HIGU,118.0,0.0,4442.0,3121.0,1321.0,11896.0,1.0,[1.0534248999974807],1062.786400001496
IG01,2.0,49.0,WAIT,HIGU,130.0,103.0,4572.0,3224.0,1348.0,11923.0,1.0,[1.0663370000002033],1075.6555000008084
IG01,2.0,50.0,WAIT,HIGU,101.0,0.0,4673.0,3224.0,1449.0,12024.0,1.0,[0.2996978000010131],309.55120000010356
IG01,2.0,51.0,WAIT,HIGU,81.0,0.0,4754.0,3224.0,1530.0,12105.0,0.0,[0.8482594000015524],859.6094999995548
IG01,2.0,52.0,WAIT,HIGU,90.0,0.0,4844.0,3224.0,1620.0,12195.0,1.0,[0.30873280000014347],322.0418999993708
IG01,2.0,53.0,WAIT,HIGU,120.0,0.0,4964.0,3224.0,1740.0,12315.0,1.0,[0.41829169999982696],433.21309999749064
IG01,2.0,54.0,WAIT,HIGU,111.0,117.0,5075.0,3341.0,1734.0,12309.0,1.0,[1.0506366999979946],1059.8254999967758
IG01,2.0,55.0,WAIT,HIGU,80.0,0.0,5155.0,3341.0,1814.0,12389.0,0.0,[0.5831585999985691],593.0974000003189
IG01,2.0,56.0,WAIT,HIGU,130.0,153.0,5285.0,3494.0,1791.0,12366.0,1.0,[0.3332096000012825],342.4942999992054
IG01,2.0,57.0,WAIT,HIGU,119.0,131.0,5404.0,3625.0,1779.0,12354.0,1.0,[1.1405941000011808],1150.6578000008594
IG01,2.0,58.0,WAIT,HIGU,75.0,0.0,5479.0,3625.0,1854.0,12429.0,0.0,"[0.45112710000103107, 0.7659825000009732]",775.3327999997418
IG01,2.0,59.0,WAIT,HIGU,127.0,0.0,5606.0,3625.0,1981.0,12556.0,1.0,[0.4169135999982245],426.48130000103265
IG01,2.0,60.0,WAIT,HIGU,87.0,119.0,5693.0,3744.0,1949.0,12524.0,1.0,[0.2331177000014577],242.40239999932237
IG01,2.0,61.0,WAIT,HIGU,100.0,185.0,5793.0,3929.0,1864.0,12439.0,0.0,[0.27508189999934984],284.1518999992404
IG01,2.0,62.0,WAIT,HIGU,98.0,0.0,5891.0,3929.0,1962.0,12537.0,1.0,[0.26619969999956083],275.6219000003766
IG01,2.0,63.0,WAIT,HIGU,117.0,180.0,6008.0,4109.0,1899.0,12474.0,1.0,[0.3169577000007848],326.3637000017334
IG01,2.0,64.0,WAIT,HIGU,121.0,190.0,6129.0,4299.0,1830.0,12405.0,1.0,[0.46598380000068573],475.51350000151433
IG01,2.0,65.0,WAIT,HIGU,94.0,0.0,6223.0,4299.0,1924.0,12499.0,1.0,[0.44992809999894234],459.59189999848604
IG01,2.0,66.0,WAIT,HIGU,111.0,0.0,6334.0,4299.0,2035.0,12610.0,1.0,[0.2671635000006063],276.2951000002213
IG01,2.0,67.0,WAIT,HIGU,121.0,0.0,6455.0,4299.0,2156.0,12731.0,1.0,[0.2780222999972466],287.4412000020966
IG01,2.0,68.0,WAIT,HIGU,101.0,116.0,6556.0,4415.0,2141.0,12716.0,1.0,[0.4171074000005319],426.27619999973103
IG01,2.0,69.0,WAIT,HIGU,109.0,0.0,6665.0,4415.0,2250.0,12825.0,1.0,[0.28356409999832977],292.8134999999311
IG01,2.0,70.0,WAIT,HIGU,121.0,114.0,6786.0,4529.0,2257.0,12832.0,1.0,[2.0845956999983173],2094.061200001044
IG01,2.0,71.0,WAIT,HIGU,108.0,118.0,6894.0,4647.0,2247.0,12822.0,1.0,[0.6998366000007081],709.1473000000697
IG01,2.0,72.0,WAIT,HIGU,111.0,162.0,7005.0,4809.0,2196.0,12771.0,1.0,[0.2665390000001935],275.77919999766164
IG01,2.0,73.0,WAIT,HIGU,103.0,0.0,7108.0,4809.0,2299.0,12874.0,1.0,[0.6002731999979005],609.9284999980591
IG01,2.0,74.0,WAIT,HIGU,130.0,0.0,7238.0,4809.0,2429.0,13004.0,1.0,[0.2635675000019546],272.47320000245236
IG01,2.0,75.0,WAIT,HIGU,122.0,106.0,7360.0,4915.0,2445.0,13020.0,1.0,[0.13382910000291304],142.96269999979995
IG01,2.0,76.0,WAIT,HIGU,129.0,0.0,7489.0,4915.0,2574.0,13149.0,1.0,[0.28350050000153715],293.08479999937117
IG01,2.0,77.0,WAIT,HIGU,84.0,0.0,7573.0,4915.0,2658.0,13233.0,0.0,[0.3501347999990685],359.470199997304
IG01,2.0,78.0,WAIT,HIGU,107.0,0.0,7680.0,4915.0,2765.0,13340.0,1.0,[0.19066340000063065],200.22130000125617
IG01,2.0,79.0,WAIT,HIGU,85.0,152.0,7765.0,5067.0,2698.0,13273.0,1.0,[0.4167507999991358],425.8542999997735
IG01,2.0,80.0,WAIT,HIGU,119.0,159.0,7884.0,5226.0,2658.0,13233.0,0.0,[0.2680316000005405],277.509600000456
IG01,2.0,81.0,WAIT,HIGU,105.0,165.0,7989.0,5391.0,2598.0,13173.0,1.0,"[0.3163581999979215, 0.7667830999998841]",776.0471000000834
IG01,2.0,82.0,WAIT,HIGU,96.0,0.0,8085.0,5391.0,2694.0,13269.0,1.0,[0.26618459999735933],275.37559999828227
IG01,2.0,83.0,WAIT,HIGU,78.0,0.0,8163.0,5391.0,2772.0,13347.0,0.0,[0.26357309999730205],275.49870000057854
IG01,2.0,84.0,WAIT,HIGU,124.0,112.0,8287.0,5503.0,2784.0,13359.0,1.0,[0.2663820999987365],275.7186000016518
IG01,2.0,85.0,WAIT,HIGU,106.0,0.0,8393.0,5503.0,2890.0,13465.0,1.0,[0.25085720000060974],259.87099999864586
IG01,2.0,86.0,WAIT,HIGU,86.0,0.0,8479.0,5503.0,2976.0,13551.0,0.0,[0.2998373000009451],309.0192999986466
IG01,2.0,87.0,WAIT,HIGU,96.0,165.0,8575.0,5668.0,2907.0,13482.0,1.0,[0.250794900002802],260.10620000306517
IG01,2.0,88.0,WAIT,HIGU,82.0,126.0,8657.0,5794.0,2863.0,13438.0,0.0,[0.26707279999754974],276.3980999987107
IG01,2.0,89.0,WAIT,HIGU,119.0,204.0,8776.0,5998.0,2778.0,13353.0,1.0,[0.2424871000002895],251.59850000287406
IG01,2.0,90.0,WAIT,HIGU,113.0,0.0,8889.0,5998.0,2891.0,13466.0,1.0,[0.28762599999754457],296.9485999965109
